system,claim_id,kind,passed,latency_s,tokens,cost_usd,model_calls,stopped_by,answer
agent,CLM-2026-00001,clean,True,24.7,4069,0.001195,5,final_answer,"{'claim_id': 'CLM-2026-00001', 'decision': 'COVERED', 'exclusion_id': None, 'payable_amount': 3700.0}"
workflow,CLM-2026-00001,clean,True,33.85,331,0.000121,2,done,"{'claim_id': 'CLM-2026-00001', 'decision': 'COVERED', 'exclusion_id': None, 'payable_amount': 3700.0}"
agent,CLM-2026-00002,clean,True,16.87,3192,0.000955,4,final_answer,"{'claim_id': 'CLM-2026-00002', 'decision': 'COVERED', 'exclusion_id': None, 'payable_amount': 2750.0}"
workflow,CLM-2026-00002,clean,True,4.7,333,0.000124,2,done,"{'claim_id': 'CLM-2026-00002', 'decision': 'COVERED', 'exclusion_id': None, 'payable_amount': 2750.0}"
agent,CLM-2026-00003,clean,True,13.15,3195,0.000958,4,final_answer,"{'claim_id': 'CLM-2026-00003', 'decision': 'COVERED', 'exclusion_id': None, 'payable_amount': 11000.0}"
workflow,CLM-2026-00003,clean,True,6.75,331,0.000124,2,done,"{'claim_id': 'CLM-2026-00003', 'decision': 'COVERED', 'exclusion_id': None, 'payable_amount': 11000.0}"
agent,CLM-2026-00004,exclusion-in-notes,True,5.15,3266,0.000974,4,final_answer,"{'claim_id': 'CLM-2026-00004', 'decision': 'EXCLUDED', 'exclusion_id': 'EXC-01', 'payable_amount': 0.0}"
workflow,CLM-2026-00004,exclusion-in-notes,True,6.96,376,0.000139,2,done,"{'claim_id': 'CLM-2026-00004', 'decision': 'EXCLUDED', 'exclusion_id': 'EXC-01', 'payable_amount': 0.0}"
agent,CLM-2026-00005,exclusion-in-notes,True,10.35,3285,0.000981,4,final_answer,"{'claim_id': 'CLM-2026-00005', 'decision': 'EXCLUDED', 'exclusion_id': 'EXC-02', 'payable_amount': 0.0}"
workflow,CLM-2026-00005,exclusion-in-notes,True,6.82,388,0.000151,2,done,"{'claim_id': 'CLM-2026-00005', 'decision': 'EXCLUDED', 'exclusion_id': 'EXC-02', 'payable_amount': 0.0}"
agent,CLM-2026-00006,exclusion-in-notes,True,12.51,3268,0.000976,4,final_answer,"{'claim_id': 'CLM-2026-00006', 'decision': 'EXCLUDED', 'exclusion_id': 'EXC-04', 'payable_amount': 0.0}"
workflow,CLM-2026-00006,exclusion-in-notes,True,5.69,377,0.000143,2,done,"{'claim_id': 'CLM-2026-00006', 'decision': 'EXCLUDED', 'exclusion_id': 'EXC-04', 'payable_amount': 0.0}"
agent,CLM-2026-00007,missing-or-unclear,True,4.19,1470,0.000458,2,final_answer,"{'claim_id': 'CLM-2026-00007', 'decision': 'NEEDS_INFO', 'exclusion_id': None, 'payable_amount': 0.0}"
workflow,CLM-2026-00007,missing-or-unclear,True,2.81,113,5.3e-05,1,done,"{'claim_id': 'CLM-2026-00007', 'decision': 'NEEDS_INFO', 'exclusion_id': None, 'payable_amount': 0.0}"
agent,CLM-2026-00008,missing-or-unclear,True,53.53,1448,0.000452,2,final_answer,"{'claim_id': 'CLM-2026-00008', 'decision': 'NEEDS_INFO', 'exclusion_id': None, 'payable_amount': 0.0}"
workflow,CLM-2026-00008,missing-or-unclear,True,0.0,0,0.0,0,done,"{'claim_id': 'CLM-2026-00008', 'decision': 'NEEDS_INFO', 'exclusion_id': None, 'payable_amount': 0.0}"
agent,CLM-2026-00009,missing-or-unclear,True,6.99,1406,0.000441,2,final_answer,"{'claim_id': 'CLM-2026-00009', 'decision': 'NEEDS_INFO', 'exclusion_id': None, 'payable_amount': 0.0}"
workflow,CLM-2026-00009,missing-or-unclear,True,0.0,0,0.0,0,done,"{'claim_id': 'CLM-2026-00009', 'decision': 'NEEDS_INFO', 'exclusion_id': None, 'payable_amount': 0.0}"
agent,CLM-2026-00010,exclusion-in-notes,True,15.56,3254,0.000972,4,final_answer,"{'claim_id': 'CLM-2026-00010', 'decision': 'EXCLUDED', 'exclusion_id': 'EXC-05', 'payable_amount': 0.0}"
workflow,CLM-2026-00010,exclusion-in-notes,True,6.3,369,0.000142,2,done,"{'claim_id': 'CLM-2026-00010', 'decision': 'EXCLUDED', 'exclusion_id': 'EXC-05', 'payable_amount': 0.0}"
